ID,Age,Gender,Income,Region,Q1_Satisfaction,Q2_EaseOfUse,Q3_Recommendation,Q4_Value,Q5_Reliability,SignupDate
83,57,1,77168.41,1,2,3,3,1,1,2024-10-20
84,63,1,47225.95,2,4,4,3,4,2,2025-12-17
85,66,3,42872.6,3,5,3,2,3,4,2024-12-06
86,21,2,47473.64,1,4,5,3,5,1,2024-06-26
87,60,3,68731.03,2,4,1,4,1,1,2026-02-19
88,33,1,59931.27,1,5,3,3,2,5,2024-10-23
89,53,1,47053.6,1,3,3,4,1,2,2026-02-28
90,63,3,62699.01,3,5,3,1,1,4,2024-07-13
91,71,2,56456.16,4,5,3,2,2,3,2025-02-15
92,20,3,69529.67,2,3,5,3,2,5,2024-11-27
93,43,3,44469.2,4,5,2,5,5,3,2025-04-13
94,48,3,50085.07,3,5,3,3,5,2,2025-09-01
95,36,3,49118.38,4,2,4,3,3,5,2026-02-02
96,46,1,33047.28,4,3,3,4,4,3,2025-02-03
97,41,2,59441.8,1,3,3,1,1,3,2024-08-30
98,37,2,58915.83,2,2,4,4,3,4,2025-02-07
99,60,1,55076.7,2,3,1,1,3,5,2025-01-26
100,62,3,51481.19,3,4,2,4,2,3,2024-10-05
101,74,2,33769.44,3,4,1,5,2,1,2025-09-28
102,27,2,48690.32,3,2,3,1,2,5,2024-11-19
103,60,2,49859.28,4,1,1,3,1,1,2025-10-23
104,30,3,42965.84,3,3,3,4,2,4,2026-04-23
105,48,2,52580.71,1,5,3,4,1,4,2025-10-08
106,30,3,61060.76,2,4,3,5,3,1,2025-09-11
107,51,2,83292.79,1,4,1,1,4,2,2024-06-20
108,43,1,57618.67,2,1,4,4,4,4,2025-08-12
109,66,3,58863.26,4,1,1,2,1,5,2025-09-01
110,41,1,53883.31,4,2,3,3,5,4,2024-09-05
111,36,1,26218.43,1,1,5,2,4,2,2025-06-14
112,27,2,54602.29,2,2,4,5,1,1,2025-11-13
113,68,2,55903.45,2,1,3,1,5,4,2024-11-02
114,73,3,91948.63,4,1,1,4,3,2,2024-08-30
115,22,1,52114.59,2,1,5,1,5,5,2025-04-20
116,59,1,59523.21,2,2,1,5,1,5,2025-02-14
117,19,3,54479.32,3,2,5,2,5,1,2024-11-21
118,41,3,37469.83,4,2,5,4,3,3,2026-04-14
119,41,2,72142.34,1,4,5,4,3,5,2025-09-05
120,27,2,66279.0,1,2,4,5,4,5,2025-10-12
121,50,3,66865.48,2,5,3,2,3,3,2025-07-02
122,47,3,41359.19,4,3,3,3,5,3,2024-10-13
123,40,1,76041.91,1,2,5,2,3,3,2025-10-09
124,41,1,33972.23,3,3,4,1,2,2,2025-01-02
125,57,3,63802.86,3,4,1,3,1,1,2026-02-09
126,66,1,87856.83,3,5,3,1,3,5,2025-12-13
127,44,2,40141.96,1,5,1,2,2,1,2025-12-19
128,41,1,46505.53,2,5,5,1,5,5,2024-06-08
129,19,1,56494.77,4,3,3,3,3,5,2024-10-20
130,58,1,47447.87,1,5,3,1,2,3,2026-01-24
131,28,3,31740.05,3,1,2,2,2,5,2024-05-20
132,61,1,56028.44,3,4,2,4,1,1,2026-01-11
133,54,2,39065.44,3,2,1,3,5,2,2024-12-27
134,24,1,62103.89,1,5,5,4,4,3,2025-03-03
135,75,3,41208.64,3,4,4,5,3,4,2024-11-19
136,38,2,78249.02,1,4,2,3,4,3,2024-06-16
137,48,1,43251.2,2,2,2,5,1,2,2024-10-06
138,19,1,50169.08,4,1,2,3,4,1,2026-04-05
139,67,2,67202.76,1,5,3,3,3,3,2025-07-10
140,48,2,36537.04,1,1,5,2,5,4,2026-03-07
141,72,2,58411.9,3,5,2,1,3,1,2025-11-04
142,50,2,74607.14,1,4,3,2,1,1,2024-12-26
143,41,3,30887.75,1,5,1,4,4,3,2024-10-08
144,39,3,57769.51,3,2,5,2,2,3,2025-09-17
145,63,1,58898.24,4,5,3,3,3,1,2025-05-18
146,58,1,66727.34,2,3,1,1,2,4,2025-02-27
147,68,1,36445.74,4,5,1,4,2,2,2026-03-14
148,70,2,35193.15,4,1,1,4,3,2,2026-04-06
149,67,1,62829.12,4,2,1,5,4,1,2025-09-07
150,21,1,59454.77,2,1,2,4,2,3,2025-04-17
151,49,3,58757.39,1,4,2,5,1,2,2024-08-14
152,68,3,60196.72,3,2,1,3,5,2,2024-11-17
153,45,2,44799.63,1,4,1,1,3,4,2024-08-12
154,51,2,58483.81,3,5,2,4,1,2,2024-11-03
155,51,1,59396.09,3,5,3,5,4,4,2025-11-25
156,60,1,44284.73,1,3,1,2,5,2,2025-07-06
157,60,2,82986.62,3,1,3,5,2,1,2025-06-18
158,48,2,62107.49,2,4,4,4,5,1,2024-11-16
159,63,1,37130.45,4,2,1,1,4,1,2025-11-27
160,61,3,64848.3,3,4,1,3,2,5,2025-07-24
161,56,1,40379.77,3,5,3,1,3,1,2025-03-24
162,24,3,66806.27,2,1,5,3,2,4,2026-03-24
163,20,1,72378.93,3,4,2,1,1,1,2025-07-23
164,61,1,42689.77,4,2,1,2,3,4,2025-03-02
165,74,3,69450.64,4,1,4,1,5,4,2025-02-01
166,45,1,61191.71,1,4,5,1,4,4,2024-10-13
167,67,1,67330.9,1,5,4,2,3,3,2024-08-11
168,37,2,83451.89,3,5,4,1,1,5,2025-05-26
169,71,2,51319.18,4,1,1,1,5,2,2025-05-14
170,27,1,43693.96,1,5,2,1,5,5,2024-07-05
171,40,2,41657.28,2,2,5,3,3,3,2025-12-04
172,55,3,42762.85,3,2,2,2,3,5,2024-06-01
173,56,2,53843.47,4,5,4,5,2,4,2026-02-23
174,70,2,60117.28,4,3,1,3,3,1,2024-07-20
175,31,3,59150.36,2,4,4,5,5,1,2024-08-22
176,59,2,67407.75,4,4,1,1,5,2,2025-08-26
177,33,1,55195.03,4,4,2,1,5,3,2024-08-28
178,34,1,76803.01,1,3,2,1,1,1,2026-01-01
179,69,3,51030.15,3,3,3,4,5,5,2025-10-06
180,26,2,95802.54,1,5,2,1,4,1,2025-03-19
181,58,2,64385.01,2,5,1,4,1,3,2025-08-02
182,45,2,42142.64,4,5,5,2,4,4,2024-06-14
183,53,3,38936.61,1,4,4,4,3,1,2025-02-18
184,61,1,62237.09,1,3,4,4,2,5,2025-02-16
185,71,2,51648.06,3,3,1,3,4,3,2025-08-01
186,65,2,65710.01,3,2,3,4,5,5,2025-04-24
187,70,3,62098.56,2,5,1,4,3,5,2025-06-10
188,40,1,53907.57,4,2,4,3,4,3,2024-11-07
189,41,3,42298.09,4,2,4,1,2,1,2025-06-29
190,64,2,32277.29,4,2,2,3,2,5,2026-02-23
191,36,3,48302.28,3,2,3,4,2,1,2024-05-04
192,56,1,67845.98,3,5,3,5,4,4,2025-10-06
193,67,2,58211.41,4,3,4,5,3,2,2025-11-06
194,63,3,36313.92,2,1,2,1,5,1,2024-07-23
195,26,1,57597.71,2,4,2,4,1,2,2025-10-07
196,21,1,60779.76,3,3,5,5,1,2,2026-03-14
197,61,2,41742.14,1,2,3,1,1,2,2025-06-17
198,45,1,57305.88,4,1,1,1,1,3,2025-11-30
199,47,3,55873.13,3,1,3,4,5,4,2024-11-19
200,40,1,37855.45,1,4,5,3,1,2,2025-12-13
201,74,3,60366.81,3,5,3,5,5,5,2025-09-05
202,49,1,63411.77,2,2,2,2,3,2,2025-01-15
203,73,1,71245.77,1,1,1,2,5,3,2024-07-21
204,73,1,70807.03,1,3,3,2,5,5,2024-12-09
205,25,3,34334.96,1,1,5,4,2,5,2025-03-29
206,70,3,40932.62,1,3,3,5,2,3,2024-08-26
207,49,1,62725.53,3,3,2,5,3,4,2025-04-13
208,25,2,62706.79,4,2,5,1,2,1,2024-04-28
209,63,1,62725.72,2,5,3,5,4,3,2025-11-07
210,59,1,112790.97,2,1,2,5,2,1,2026-03-07
211,33,1,63563.36,3,4,3,1,1,1,2025-11-05
212,25,2,72033.48,1,5,3,3,5,4,2024-11-16
213,18,3,69310.03,1,1,5,4,5,1,2025-05-19
214,68,1,64770.87,1,3,1,3,3,3,2025-12-08
215,42,3,50270.96,4,1,2,2,4,5,2024-09-11
216,21,1,66384.54,1,5,2,5,1,1,2025-05-25
217,40,1,43407.62,4,1,3,1,2,2,2026-04-04
218,75,1,51447.72,3,3,1,2,1,1,2024-07-17
219,67,3,47719.55,3,1,2,5,3,2,2026-03-03
220,53,1,56228.11,4,5,5,4,2,1,2025-08-24
221,65,2,89719.88,2,4,1,1,5,3,2024-12-13
222,65,2,26991.02,2,3,3,2,5,1,2026-02-08
223,22,3,65293.9,1,4,3,2,2,1,2025-09-04
224,24,2,30809.26,4,1,2,4,4,4,2025-05-25
225,61,1,47921.02,4,5,1,1,4,5,2025-08-12
226,75,3,71334.26,4,2,4,2,4,3,2024-09-27
227,53,2,55964.2,4,4,4,3,2,3,2024-08-22
228,38,1,38833.83,4,5,5,3,2,5,2025-02-10
229,74,2,44270.44,4,4,3,2,4,3,2025-12-09
230,21,1,65193.97,4,5,4,4,5,2,2024-08-29
231,37,2,44044.5,1,3,1,3,2,4,2025-06-18
232,46,2,58246.88,3,1,1,2,3,3,2025-12-21
233,34,3,55683.58,3,3,2,4,2,5,2026-04-12
234,55,1,45225.99,2,1,1,3,3,4,2025-06-11
235,26,2,87159.16,1,5,5,2,3,1,2026-04-09
236,24,2,64508.79,2,3,3,1,4,1,2024-04-26
237,69,1,24622.86,1,5,3,1,5,5,2025-08-04
238,25,3,57796.81,3,2,5,5,5,3,2025-01-02
239,36,3,45073.2,2,5,4,5,4,2,2025-05-10
240,41,2,67786.5,3,1,2,4,4,1,2024-05-11
241,57,3,43112.19,2,1,3,1,5,2,2024-07-21
242,65,3,53278.95,3,3,1,4,4,3,2026-04-17
243,69,3,62574.81,1,1,3,2,4,1,2025-02-01
244,21,2,67986.33,3,3,2,5,3,1,2026-03-09
245,23,2,36995.55,1,4,5,5,3,5,2026-01-31
246,62,3,49982.48,3,5,4,5,5,5,2026-01-12
247,23,2,47875.82,1,5,5,2,3,5,2024-12-20
248,29,2,45200.06,2,1,3,5,2,1,2024-10-28
249,57,3,81481.81,3,1,2,4,5,3,2024-06-09
250,37,3,61074.73,1,5,3,4,5,5,2024-10-30
251,34,2,36086.74,1,3,5,2,5,5,2026-03-08
252,75,2,68767.93,3,5,3,1,2,3,2025-07-10
253,43,1,86832.34,3,4,2,3,2,5,2024-06-26
254,42,3,70486.98,1,2,1,5,3,2,2024-07-01
255,75,3,32209.45,3,3,1,5,5,1,2025-11-15
256,37,1,47736.49,3,1,4,4,2,1,2025-05-08
257,69,2,74003.67,2,2,3,4,5,2,2026-01-19
258,29,1,44384.96,4,2,2,1,4,3,2024-06-18
259,26,3,61657.29,3,3,5,3,5,2,2025-12-07
260,64,1,66619.51,2,2,2,2,2,2,2025-06-13
261,59,3,41096.04,3,4,3,3,1,3,2025-12-11
262,21,3,54107.12,4,5,4,2,3,4,2024-08-01
263,60,1,12000.0,3,3,4,2,2,1,2024-08-03
264,24,2,39634.19,1,4,4,4,5,1,2025-09-20
265,49,2,51211.48,2,5,4,3,4,2,2025-04-30
266,58,3,36283.25,2,4,4,3,5,5,2025-06-27
267,34,2,79486.17,2,1,5,1,5,1,2024-09-01
268,43,3,33547.88,4,2,3,1,2,4,2024-11-17
269,72,1,48399.33,3,1,2,4,5,1,2025-06-09
270,25,2,56961.11,2,1,5,1,3,3,2026-03-04
271,41,2,76619.1,2,3,4,1,1,4,2025-08-10
272,57,2,33462.07,3,2,4,3,5,5,2025-03-20
273,44,2,72447.46,1,3,5,2,3,4,2024-10-07
274,25,3,55153.5,3,1,3,2,1,3,2026-04-17
275,45,3,40277.37,2,2,5,3,2,2,2025-06-18
276,72,1,61931.55,1,1,1,2,4,3,2025-12-03
277,73,2,57985.9,3,4,1,5,1,5,2025-11-13
278,75,1,45996.75,3,5,1,2,5,4,2025-10-13
279,63,1,56047.03,2,3,1,5,5,5,2024-09-29
280,22,1,49220.3,2,1,3,1,1,4,2025-10-31
281,50,2,56702.76,1,4,4,5,5,5,2024-12-24
282,24,2,64931.96,4,1,4,4,1,4,2025-03-01
283,56,1,78790.25,3,1,2,1,3,3,2025-09-29
284,58,1,36432.77,4,5,3,2,1,5,2025-09-12
285,32,3,86995.5,3,4,3,1,4,4,2025-02-10
286,32,1,25718.68,4,3,5,3,4,3,2025-04-01
287,74,3,52723.22,3,1,2,2,1,1,2026-03-25
288,58,1,63824.76,1,3,4,5,3,4,2025-06-02
289,73,1,59214.88,3,1,1,3,5,4,2025-04-11
290,52,3,45659.51,2,4,5,4,4,3,2024-07-28
291,70,1,51878.17,3,4,3,3,2,5,2024-11-04
292,43,1,47604.99,4,2,4,5,1,3,2024-10-17
293,55,2,46159.53,4,5,1,1,1,5,2024-06-14
294,27,3,67744.03,1,3,5,4,3,1,2025-01-13
295,36,1,60355.23,2,5,4,4,3,4,2024-05-12
296,47,1,44606.36,2,4,1,3,2,4,2025-07-26
297,50,3,68494.0,4,4,2,2,1,1,2025-06-30
298,58,1,59609.49,4,1,4,1,3,2,2024-10-21
299,52,2,67192.93,3,2,3,2,3,5,2025-07-27
300,47,3,64444.43,2,1,1,5,2,5,2024-10-14
301,70,3,42565.07,2,4,2,5,1,4,2024-05-01
302,26,2,46597.28,3,2,5,4,5,5,2024-06-20
303,53,3,66209.4,2,1,4,1,3,3,2025-10-27
304,53,3,64155.55,1,5,1,2,2,4,2025-08-29
305,51,3,54686.48,3,3,1,4,4,2,2024-06-10
306,44,2,56759.91,1,5,4,1,5,4,2024-10-20
307,20,3,74164.97,3,1,4,3,4,1,2024-06-17
308,42,1,46126.43,3,4,5,4,4,5,2026-03-30
309,20,3,63206.46,2,5,4,1,4,1,2024-05-20
310,68,1,51967.11,1,2,4,4,1,2,2026-02-22
311,42,2,51734.78,2,4,5,3,2,1,2025-01-07
312,69,1,71481.65,3,3,1,4,5,1,2024-06-20
313,27,2,67381.25,2,3,4,1,4,5,2025-05-30
314,19,2,67202.64,2,1,5,2,1,3,2024-10-27
315,34,1,74582.18,4,4,2,2,4,2,2024-11-28
316,60,1,55315.06,4,2,1,5,3,4,2025-09-27
317,39,2,65229.29,4,2,2,2,2,1,2025-05-08
318,58,1,50346.0,2,4,2,5,1,1,2024-10-09
319,30,1,59862.5,4,3,3,2,3,1,2025-06-18
320,25,2,53047.85,4,2,5,2,4,3,2024-08-06
321,51,2,56454.94,2,5,4,4,5,5,2025-11-08
322,57,2,63927.36,1,2,3,3,4,1,2026-04-22
323,35,3,42726.69,2,1,2,1,4,1,2026-03-12
324,35,3,86385.81,4,5,4,4,4,3,2025-07-13
325,49,3,39909.74,4,5,5,3,3,5,2025-07-17
326,72,1,36787.17,3,3,1,1,5,1,2025-04-28
327,21,2,72371.66,3,1,4,5,4,1,2024-10-31
328,57,2,66874.94,3,2,3,4,4,5,2025-12-26
329,69,2,64361.8,3,2,1,5,1,1,2025-04-28
330,50,3,64425.18,3,3,1,4,5,1,2026-01-13
331,62,3,54816.3,3,2,1,4,4,3,2025-03-08
332,18,2,41541.18,4,3,5,5,4,3,2024-09-20
333,28,2,56137.07,1,3,5,4,5,2,2024-07-08
334,61,1,44842.57,1,3,1,3,4,1,2024-07-10
335,26,2,69626.8,1,2,2,4,3,4,2025-09-19
336,73,2,52794.14,4,3,2,3,3,1,2025-03-26
337,55,1,42617.54,3,1,4,5,1,3,2025-01-26
338,66,3,50179.21,1,5,1,2,5,4,2025-03-21
339,24,1,61193.97,4,3,5,2,5,1,2025-03-11
340,38,2,46544.13,3,1,1,5,3,3,2025-04-23
341,71,1,42666.69,4,1,3,3,1,5,2026-02-25
342,27,2,58655.31,1,2,5,2,3,4,2025-11-13
343,64,2,58674.5,3,3,1,2,2,5,2024-06-07
344,67,2,47395.85,2,5,4,3,5,5,2025-10-01
345,63,3,47934.43,2,5,3,1,4,1,2025-09-15
346,27,2,58480.75,4,1,2,5,5,1,2025-09-09
347,43,1,33278.73,1,3,3,5,5,5,2024-07-11
348,74,3,33888.04,3,3,1,3,5,4,2024-06-12
349,51,1,44223.34,2,5,1,3,3,5,2025-03-04
350,36,2,51798.29,4,4,5,4,5,5,2025-11-12
351,24,3,59663.61,2,1,3,2,2,5,2025-01-14
352,54,1,77130.34,1,5,4,5,1,2,2026-01-07
353,57,3,67864.89,3,2,2,4,1,4,2026-02-24
354,57,1,52600.92,1,3,3,1,3,5,2024-07-19
355,29,1,54714.76,1,4,5,5,3,2,2024-11-05
356,46,2,39962.06,2,1,5,2,3,1,2024-09-21
357,30,2,54722.3,4,4,5,2,1,4,2024-09-20
358,42,3,50670.12,3,3,2,2,5,3,2025-06-16
359,55,1,59840.78,1,4,3,3,5,5,2025-04-09
360,68,3,42591.54,1,4,1,1,1,4,2024-08-12
361,45,3,62790.2,4,2,2,4,2,5,2025-03-19
362,39,3,77991.08,3,5,1,1,2,1,2024-09-15
363,62,1,53368.6,2,3,4,2,4,2,2024-11-28
364,51,1,61025.68,1,2,5,4,3,1,2025-04-20
365,66,3,65352.16,3,3,1,2,4,4,2024-11-06
366,24,1,48981.69,2,1,4,3,5,2,2026-03-06
367,23,2,58361.39,3,4,2,1,1,3,2026-04-13
368,71,1,55188.89,4,1,1,5,1,3,2024-06-23
369,46,1,56465.14,4,4,5,2,1,1,2025-04-05
370,50,1,43404.85,2,2,2,3,5,2,2026-01-13
371,49,3,55367.65,4,2,4,3,3,2,2026-02-24
372,34,1,62469.97,2,1,3,2,4,1,2026-02-19
373,71,2,76767.15,1,3,4,2,3,5,2025-06-27
374,65,3,69389.06,2,4,1,2,5,2,2024-07-11
375,50,1,87297.74,4,1,4,1,5,1,2024-06-04
376,26,2,43489.79,2,3,4,4,5,3,2025-09-14
377,64,3,68084.81,1,4,2,1,2,2,2025-06-19
378,64,1,57750.13,1,4,1,1,2,4,2026-02-04
379,19,3,87847.04,3,2,3,4,4,1,2024-05-07
380,25,2,42875.53,4,5,2,2,4,4,2024-07-07
381,18,2,42404.17,2,1,4,5,3,5,2026-04-15
382,58,2,46009.11,4,1,4,1,4,1,2025-12-02
383,36,1,23141.56,4,5,3,4,5,5,2026-02-14
384,52,1,47113.67,2,1,4,3,4,3,2024-10-26
385,48,3,43613.01,2,1,4,1,4,3,2024-09-02
386,61,1,57255.91,4,3,1,5,4,4,2025-03-07
387,40,3,60126.34,2,2,3,1,1,4,2025-05-08
388,24,3,83142.56,2,3,5,3,5,4,2025-05-04
389,32,1,69256.36,2,5,5,2,2,3,2024-10-09
390,32,1,46346.45,1,4,4,4,1,1,2026-02-26
391,20,2,41523.78,1,3,5,2,5,1,2025-03-03
392,73,2,62378.79,1,2,1,5,5,2,2026-03-27
393,58,1,35196.5,1,1,2,5,1,5,2024-06-10
394,64,1,82471.88,1,4,2,1,4,4,2024-08-31
395,53,1,72691.6,3,4,1,1,2,1,2025-02-14
396,27,1,47962.37,2,4,3,1,5,2,2024-04-27
397,53,1,29302.98,2,5,1,2,2,1,2025-02-23
398,40,1,75308.09,3,5,1,5,2,3,2024-11-17
399,19,2,53281.9,3,2,5,1,5,5,2026-04-15
400,28,2,73567.24,1,5,5,3,4,5,2025-12-26
401,23,2,31083.59,4,1,5,5,5,2,2025-12-26
402,33,2,46009.37,3,3,3,1,3,1,2025-04-14
403,52,1,55078.66,1,5,3,2,3,5,2024-12-03
404,19,1,55704.71,3,5,2,1,1,2,2025-03-20
405,24,1,48249.02,2,2,5,1,3,4,2025-10-19
406,56,1,64342.75,2,1,3,3,2,2,2025-11-14
407,27,3,38985.69,2,3,5,2,4,1,2025-12-25
408,30,3,52864.31,4,2,3,2,3,5,2025-07-01
409,54,1,56804.43,1,3,4,5,4,3,2025-09-22
410,24,2,62716.58,4,1,5,3,4,3,2025-11-05
411,70,3,65674.22,1,4,4,3,2,1,2025-05-09
412,75,2,38130.37,3,4,1,2,5,3,2024-08-24
413,69,1,31988.29,1,1,2,5,5,4,2024-09-20
414,26,2,74165.15,4,3,3,2,3,3,2024-12-12
415,20,2,59984.71,1,1,4,5,1,3,2024-10-12
416,25,1,43772.7,4,4,5,4,4,1,2024-06-10
417,49,1,78267.28,4,4,1,5,5,5,2025-07-19
418,55,3,56735.12,4,1,3,3,1,5,2025-11-18
419,26,1,72689.46,3,3,2,3,4,3,2025-06-21
420,52,2,56012.78,1,1,2,3,3,4,2024-06-12
421,44,2,85911.22,2,3,2,5,5,3,2025-11-27
422,58,2,81330.11,2,1,1,2,4,3,2024-12-25
423,23,2,51265.54,3,4,5,5,5,4,2024-06-09
424,69,2,69573.56,2,3,1,1,2,3,2024-06-03
425,46,3,64680.64,3,3,1,4,5,3,2025-07-23
426,32,1,75529.47,3,4,2,2,1,5,2025-05-01
427,23,2,40526.15,4,3,4,5,1,4,2025-05-21
428,58,1,65290.77,2,5,1,4,3,1,2026-04-10
429,43,2,70876.37,2,5,3,5,5,1,2026-02-17
430,54,1,28618.91,2,5,5,1,2,1,2025-06-12
431,38,1,37251.12,4,4,3,2,2,5,2024-08-26
432,44,3,24411.52,3,4,1,5,1,2,2024-06-09
433,68,1,50958.9,4,5,1,1,1,2,2025-05-25
434,47,3,65763.13,4,3,4,2,4,1,2024-06-27
435,62,2,77535.36,4,4,3,2,4,4,2026-02-16
436,40,1,56111.42,3,1,1,5,1,4,2024-09-17
437,45,1,79429.23,2,4,4,4,4,3,2024-06-18
438,34,1,34298.48,2,5,5,4,2,5,2025-08-01
439,58,2,29449.26,1,3,1,5,3,3,2024-06-17
440,49,2,54166.78,3,2,2,5,2,2,2025-10-02
441,43,3,60760.98,3,5,5,5,4,5,2026-02-24
442,45,2,54509.58,4,1,4,5,5,3,2024-10-25
443,66,1,23988.37,1,5,4,1,5,3,2025-03-05
444,65,1,53663.2,2,1,4,2,1,2,2024-07-28
445,24,2,35432.96,3,2,2,2,3,5,2026-03-18
446,38,2,65045.09,1,2,4,1,5,5,2025-07-12
447,36,3,60498.97,2,3,3,1,3,2,2024-11-03
448,21,3,40901.8,1,4,4,5,1,4,2025-07-19
449,36,3,47292.0,2,4,1,5,1,5,2025-07-31
450,29,2,39111.8,3,1,3,1,3,4,2024-05-26
451,64,1,54059.81,3,3,1,3,1,1,2025-08-20
452,21,1,69327.13,2,4,5,2,2,1,2024-06-28
453,74,2,40214.11,2,1,4,3,5,2,2025-03-17
454,41,1,62560.7,2,2,4,3,4,4,2025-09-18
455,50,2,47046.14,3,3,1,5,4,5,2025-07-23
456,69,2,43106.91,3,3,2,4,2,1,2025-07-09
457,37,1,53394.54,1,4,2,5,4,4,2025-06-06
458,40,3,39471.37,1,2,1,4,1,5,2024-12-27
459,19,2,46695.26,3,4,2,4,5,5,2026-04-22
460,24,2,37031.83,3,4,2,4,4,4,2024-11-14
461,41,2,84470.88,1,2,4,5,3,5,2024-10-01
